id,name,price,image,brand_id,model,description,user_id,createdAt,updatedAt
12,Subwoofer,980.00,product_avatar_1580588211495.png,4,"KH 750 DSP D G","El compacto DSP KH 750 es la opción ideal para salas más pequeñas y monitores de estudio más pequeños. Tiene un Administrador de bajos único y flexible (2.0 / 0.1), entradas analógicas y digitales, cuatro modos de enrutamiento y controles acústicos adaptables para usarse en muchas configuraciones diferentes.La aplicación opcional para iPad® Neumann.",16,NULL,NULL
15,"un producto",789.00,product_avatar_1580665789963.png,2,45SDF,"Las descripciones de producto son textos que explican las características y características de los productos. Por regla general, las descripciones de producto se utilizan en las tiendas online con el objetivo de informar a los clientes potenciales y fomentar su intención de compra",4,NULL,NULL
16,"Otro Producto mas",4863.00,product_avatar_1580665817849.png,3,46TX1W,"Las descripciones de producto son textos que explican las características y características de los productos. Por regla general, las descripciones de producto se utilizan en las tiendas online con el objetivo de informar a los clientes potenciales y fomentar su intención de compra",4,NULL,NULL
17,"Parlante 3",1254.00,product_avatar_1580665838732.png,5,AS56DF,"Las descripciones de producto son textos que explican las características y características de los productos. Por regla general, las descripciones de producto se utilizan en las tiendas online con el objetivo de informar a los clientes potenciales y fomentar su intención de compra",4,NULL,NULL
18,"Otro Parlante MAs",456.00,product_avatar_1580665872455.png,5,AZ34FS,"Las descripciones de producto son textos que explican las características y características de los productos. Por regla general, las descripciones de producto se utilizan en las tiendas online con el objetivo de informar a los clientes potenciales y fomentar su intención de compra",4,NULL,NULL
19,"Parlante Grande",189.00,product_avatar_1580665942382.png,1,aWEEW,"Las descripciones de producto son textos que explican las características y características de los productos. Por regla general, las descripciones de producto se utilizan en las tiendas online con el objetivo de informar a los clientes potenciales y fomentar su intención de compra",4,NULL,NULL
20,"Pola Rocks",15000.99,product_avatar_1580666091605.png,4,"limited edition","Edited by Milena // Weddings are basically funerals with cake",9,NULL,NULL
25,"Producto Milena",456.00,product_avatar_1580831007686.png,1,aWEEW,"Updated by Sandra Milena // creacion de Producto con Randy logueado, id 4",9,NULL,NULL
27,"Parlante 3",753.00,product_avatar_1580842826232.png,3,AZ34FS,"parlante grande",13,NULL,NULL
28,"Parlanta con Select",753.00,product_avatar_1580842994656.png,6,aWEEW,"Subir un parlante con select en la marca",13,NULL,NULL
